C,ratio
0.01,0.8677883762410948
0.03,0.794519243399896
0.05,0.7349611296040073
0.07,0.6841530797327547
0.09,0.6588239781586125
0.11,0.6520278837881187
0.13,0.614012171518497
0.15,0.5892521250905324
0.17,0.568625973395562
0.19,0.579471060321861
0.21,0.5598458258121806
0.23,0.5437982503348503
0.25,0.5300746572173184
0.27,0.517452524170504
0.29,0.5081302764112803
0.31,0.49624550787825106
0.33,0.48756431730940636
0.35,0.4784710626616742
0.37,0.471893695303059
0.39,0.46404750793207383
0.41,0.4558429295726748
0.43,0.449339317281611
0.45,0.4442206894302746
0.47,0.4394938344228943
0.49,0.4346694752565175
0.51,0.4312701502563424
0.53,0.426098064326431
0.55,0.42145934740273355
0.57,0.4168580023344902
0.59,0.41310376101085183
0.62,0.409572357706501
0.64,0.40708613670377075
0.66,0.4040333928921373
0.68,0.40216176051908853
0.7,0.39978401922005263
0.72,0.3970450035202702
0.74,0.39477684459834783
0.76,0.3915022822753791
0.78,0.3890999942121985
0.8,0.3871171137972113
0.82,0.38538424789955456
0.84,0.38489873666916596
0.86,0.38150446728369325
0.88,0.37813981682201186
0.9,0.3769872063103268
0.92,0.37463408887104754
0.94,0.3720045807636757
0.96,0.3716460154981945
0.98,0.3684923606532294
1.0,0.36648177327187
